Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
2,83;91,3211;87,2574;80,1113;66,34547;73,5925;86,3506;77,36982;75,6952;75,17448;73,3984;72,38883;69,72836;71,69622;100,01786;88,10774;146,6441;101,53108;221,9593;78,83566;70,75613;67,29805;67,22746;77,03086;77,26235;71,48193;69,27417;67,62763;76,71403;63,76216;97,006;95,5464;104,90334;161,53035;91,68781;79,80754;185,82198;86,29061;67,96227;98,45026;96,8927
2,901;91,2731;87,3706;79,9623;66,60127;73,6065;86,2251;76,98169;75,7171;75,25249;73,2607;72,21329;69,7444;71,46527;99,88428;87,78538;146,5983;101,74159;222,15755;78,78559;70,59673;67,28298;67,31607;76,64847;77,11017;71,5085;69,72839;67,76691;76,70866;63,62127;96,9156;95,1711;105,13388;161,43843;91,38716;79,59299;185,5939;86,35898;67,66299;98,63583;96,9558
2,9709984;90,6072;87,2713;79,4611;66,50159;73,5694;86,1685;77,01022;75,5922;75,17896;73,4075;72,111;69,70731;70,8786;99,98179;88,17178;146,3706;101,64297;222,27716;78,73469;70,45436;67,2873;67,42215;76,76243;76,95817;71,43465;69,73968;67,84476;76,75397;63,63237;96,3904;95,2161;105,09796;161,68224;91,49246;79,50906;185,71991;86,23722;67,74485;98,77406;96,8864
3,042;90,7509;87,063;79,689;66,54068;73,4887;86,049;76,81519;75,3493;74,67764;73,3421;72,27783;69,63138;71,36477;99,82589;87,92384;145,973;101,57191;222,18652;78,703;70,73808;67,14871;67,29142;76,75436;77,16264;70,96387;69,44781;67,67509;76,89375;63,70352;96,8535;95,2359;105,07523;161,57321;91,3894;79,40503;185,95213;86,19995;67,57736;98,40765;96,7977
3,113;90,8529;87,5301;79,3464;66,25238;73,1459;86,2867;77,04394;75,3912;74,82877;73,7252;71,82349;69,47198;71,10898;99,93232;88,23799;146,2794;101,46525;222,09837;78,43768;70,76771;66,9128;67,43432;76,6787;77,15993;71,22742;69,05078;67,77512;76,77368;63,50492;96,4138;95,3936;104,9023;161,44934;91,73228;79,4875;186,12234;86,2299;67,52888;98,43998;96,6444
3,184;90,7539;87,1874;79,2167;66,61617;73,1719;86,2046;76,92137;75,4195;74,92809;73,7025;72,28429;69,73473;71,31169;99,93643;88,02467;146,0983;101,64171;222,25743;78,68948;71,06097;66,81645;67,32668;76,99747;77,20916;71,33528;68,94511;67,69727;77,00051;63,76106;96,7489;95,316;105,17332;161,65114;91,34381;79,46432;186,04152;86,15777;67,61103;98,45547;96,6143
3,254;90,9347;87,7363;79,874;66,84315;73,815;87,1666;77,84236;76,2441;74,91875;74,6377;72,21684;69,32245;70,86053;100,41482;88,67892;147,3025;101,33752;222,04544;78,70279;70,65838;66,82238;67,09828;76,77366;77,31194;71,11636;68,74506;67,721;76,82847;63,46583;96,5468;94,8006;105,05747;161,45404;91,68688;79,37843;185,56898;86,06139;67,7103;98,6683;96,719
3,3249984;90,858;88,8774;81,2319;66,8363;74,188;87,9977;78,27154;77,7492;74,9612;74,8667;72,00517;69,14703;70,13495;101,18518;89,46863;148,7976;101,24993;221,83646;78,65652;70,63317;66,13377;66,84618;76,8604;78,45546;71,59618;68,84714;68,48924;77,41833;64,22893;97,2475;95,1336;106,48929;161,41631;91,66177;78,66936;187,09793;85,77661;67,7196;98,28016;96,292
3,396;91,8968;89,3379;81,4336;66,79771;74,0842;88,471;78,08826;78,3169;74,91326;74,8455;72,12875;69,3068;70,18407;101,17268;89,07097;148,4637;101,19313;221,50087;78,8082;70,844;66,50346;66,98222;76,82463;78,16913;71,64825;69,35702;68,75183;77,42729;64,35121;97,0387;95,0554;106,4279;160,98546;92,15051;79,03574;187,49646;85,82668;68,21307;98,18886;96,2781
3,467;92,2444;88,845;80,8938;66,51918;74,1689;88,3844;78,201;78,5398;75,04246;74,4626;71,62794;69,37249;70,48391;101,24928;88,40199;147,5213;101,09268;221,30212;78,55366;70,99353;66,99036;67,01841;76,92973;78,00685;72,00531;69,05181;68,2821;77,07758;64,33949;97,5532;95,435;105,69932;161,19838;92,00502;79,37115;187,03395;85,94466;68,28302;97,98212;96,5621
3,5369984;92,5849;88,4563;80,7533;66,63059;74,218;87,8824;77,60262;77,8106;75,05667;74,1277;71,9445;69,70866;71,5703;100,76946;88,16357;146,7839;101,33823;221,44444;78,80735;70,81062;67,34165;67,24743;76,88351;77,3022;71,73751;69,35471;68,26614;77,14132;64,11384;97,4801;95,481;105,50797;160,88863;91,90047;79,48035;186,4503;86,15343;68,12946;98,18394;96,5064
3,608;92,158;88,1135;80,7369;66,58075;73,7013;87,2127;77,64425;77,2882;75,18769;73,8872;72,16425;69,66557;71,50254;100,67411;87,8823;146,5555;101,25671;221,3206;78,74841;70,52384;67,09844;67,31544;77,00427;77,43058;71,67747;69,57066;67,99091;76,89017;63,97873;97,6716;95,7215;105,03357;161,14301;91,84298;79,94891;186,16508;86,23608;67,82526;98,35522;96,939
3,679;91,539;87,9307;80,4803;66,42658;73,5328;86,6069;77,26537;76,7103;75,11192;73,914;72,26654;69,50058;71,77301;100,2859;87,69191;146,6505;101,257;221,70062;78,90283;70,67234;67,02792;67,21997;76,76227;77,3177;71,50531;69,50141;67,83987;76,79647;63,85082;97,5922;95,4155;105,23903;161,41801;91,79125;79,93475;185,49597;86,44941;67,80987;98,35165;96,9354
3,75;90,9734;87,3849;80,2101;66,31541;73,4862;86,4173;77,2355;75,9291;75,065;73,5704;72,08713;69,60239;71,52174;99,96197;87,85418;146,321;101,09325;221,58827;78,65251;71,09979;66,97505;67,62247;76,76448;77,16607;70,98725;69,50475;67,9297;76,65899;63,68069;97,1348;95,1991;104,8063;161,40327;91,46828;79,76016;185,79781;86,33772;67,72337;98,06718;96,782
3,821;90,512;87,4664;80,0396;66,2602;73,8802;86,41;77,25689;75,9532;74,97115;73,8072;72,27203;69,61379;71,73913;99,75393;87,6283;146,2638;101,19553;221,88365;78,61998;71,15429;66,90082;67,31077;76,6282;77,15344;70,89639;69,35753;67,54558;76,7107;63,5412;96,9337;95,5099;104,75314;161,31125;91,59777;79,82753;185,51184;86,28124;67,73353;98,34272;96,6922
3,8909984;90,9625;87,0832;79,6681;66,10017;73,4952;86,352;76,91482;75,7563;74,88178;73,2611;72,08099;69,4716;71,64822;99,79714;87,2778;146,1878;101,15584;221,97403;78,55133;70,79257;66,97826;67,33011;76,63343;77,03083;70,59033;68,9764;67,88268;76,46313;63,53151;96,7496;95,3075;104,79937;161,30162;91,52465;79,39365;185,621;86,19424;67,67518;98,33542;96,5547
3,962;90,8673;87,3466;79,5636;66,2387;73,2877;86,009;77,00674;75,4361;74,60999;73,1769;72,0313;69,4913;70,96273;99,73392;87,66898;146,0648;101,37468;222,03197;78,68018;71,10456;67,03854;67,31107;76,90408;77,31879;70,64506;68,93588;67,67287;76,78111;63,55809;96,7816;95,4956;105,00405;161,45233;91,18065;79,52084;185,12479;86,07043;67,57794;98,34167;96,5607
4,033;90,5348;86,9934;79,3027;66,29391;73,0782;86,0523;76,95375;75,2754;74,58643;73,4361;71,9232;69,2699;71,13777;99,745;87,4604;146,0842;101,44137;221,83496;78,57964;70,53645;66,80064;66,95882;76,66698;77,27281;70,94102;68,88202;67,77978;76,67486;63,39906;96,4319;94,9361;104,80995;161,43672;91,61023;79,14017;185,9028;85,95073;67,53933;98,23384;96,4031
4,1039984;90,9157;86,8687;79,1753;66,12314;72,9574;85,8503;76,76624;75,1358;74,42169;73,2576;71,63149;69,46658;71,23094;99,73428;87,98529;145,7056;101,28115;221,6422;78,3308;70,24932;66,69763;67,09454;76,90836;77,18013;71,80128;68,44601;67,50255;76,69073;63,66349;96,4348;95,1008;104,93535;161,20789;91,24447;79,24302;185,31648;85,95702;67,74485;98,09547;96,5142
4,174;90,7914;87,0167;79,1549;66,43391;73,2276;85,9086;77,05685;75,2105;74,3508;73,4062;71,64279;69,47855;71,19594;99,79161;87,6971;146,1685;101,21828;222,20724;78,33291;70,45232;66,45418;66,97784;77,05366;77,14786;71,89798;68,64632;67,68552;76,93113;63,39406;96,2472;94,9702;105,12461;160,83369;91,38307;79,27055;185,73041;86,01612;67,48621;98,14969;96,5711
4,245;90,6738;87,1129;79,2518;66,50892;72,9815;85,6342;77,10233;75,2739;74,49543;73,4723;71,70345;69,3779;70,91135;99,84;87,56296;145,9219;100,97202;221,94507;78,53063;70,21867;66,59585;66,80749;76,86642;76,77822;71,58661;68,57938;67,59836;76,57706;63,50148;96,6337;94,6484;104,8895;161,15488;91,2906;79,18121;185,53383;85,94296;67,66676;98,14001;96,5039
4,316;90,4539;86,7638;79,3772;66,55509;73,1223;85,6261;77,02505;75,2693;74,65163;73,4006;71,69862;69,28149;70,87917;99,7;87,77802;146,1667;101,25445;222,42247;78,69138;70,09673;66,53187;66,683;76,89728;77,15092;71,12805;69,02744;67,58062;76,71223;63,73433;96,3355;94,512;104,83752;160,86842;91,42642;79,1722;185,71501;85,77524;67,5373;98,29997;96,393
