Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
3,184;25,3291;24,6043;22,7318;28,6751;21,1624;29,1463;25,4679;22,5326;47,7822;31,3202;27,3198;121,8302;56,4066;33,6589;46,5634;47,8018;73,7564;62,50487;20,4155;106,235;18,29817;20,46115;78,4035;84,2322;26,5489;65,8718;13,49479;92,8241;43,7603;65,5475;79,8773;22,77939;42,79885;21,65377;19,97234;61,7678;24,57025;17,21887;28,08922;28,04779
3,254;33,311;31,3671;33,2504;31,2473;37,2912;52,0419;45,3829;50,837;55,6384;44,553;30,4824;120,4478;56,9932;35,58;46,2501;47,6559;74,3015;61,91011;20,51774;103,9281;18,49889;20,23339;80,2107;87,0263;26,7651;60,6448;13,66888;91,7407;43,998;64,2028;79,8581;23,06779;43,25449;21,70326;20,0229;61,5153;24,10003;16,87373;27,7678;28,16916
3,3249984;31,075;30,0359;32,2416;30,0266;33,2155;46,6528;41,2029;46,9876;52,5101;42,7336;27,5047;120,1721;57,2298;35,4409;45,4864;47,9651;73,5637;60,82347;19,5883;100,6015;17,82312;19,49984;80,2194;90,1742;25,5489;56,4853;13,42027;90,6702;45,3373;64,4369;78,4231;22,78997;42,49776;21,30605;19,79881;61,9238;24,11867;16,97562;27,21582;27,80415
3,396;29,1492;28,6304;29,3979;28,9914;29,6937;41,5371;36,683;41,782;48,3358;37,8941;24,9816;120,3377;56,5884;34,6882;45,2315;48,1744;73,4924;60,97179;19,89502;96,4186;17,84943;20,1897;78,9964;87,2486;24,9809;59,1495;13,70481;89,7243;45,808;63,772;79,3933;22,44227;42,18459;21,35163;20,2;62,5873;24,02355;17,15617;27,38934;27,61767
3,467;28,5103;27,8697;27,3939;27,4161;26,7258;37,2034;32,1;37,1052;45,5135;35,0551;23,4537;121,7083;56,5878;34,387;46,2337;48,545;73,5619;60,86666;20,45564;93,6734;18,4664;21,3532;76,4954;83,5788;24,5855;66,2411;13,83012;89,0694;46,0402;69,4394;79,8091;22,94802;43,01892;21,96614;20,05347;62,3392;24,39934;16,81219;27,28969;27,86528
3,5369984;28,6498;27,039;25,7496;26,7476;25,5749;33,5349;29,1669;33,347;44,387;33,2277;22,6528;121,1202;56,5065;33,9668;46,8676;48,4251;74,2142;61,86042;20,63329;88,922;18,4606;22,55694;74,2064;82,5195;25,1164;73,0533;13,5367;87,8633;46,1967;72,439;79,3163;22,84835;43,04179;21,93991;20,1677;61,883;24,59563;17,16517;28,07209;28,10388
3,608;26,7644;25,9962;24,2402;26,6973;24,2456;31,5445;26,5801;29,2878;44,1877;31,5156;22,2014;120,5922;57,472;34,1429;46,3081;48,9374;74,5445;61,45668;20,73574;87,22;18,1754;22,08424;71,2198;85,408;26,3608;81,4658;13,51209;88,2839;45,5783;73,8564;79,9629;22,77469;43,56552;22,35963;20,38637;61,3661;24,2634;16,93933;28,44057;28,24436
3,679;26,2128;25,752;22,8706;26,2797;22,4612;30,6272;24,6764;26,1716;44,807;30,9564;21,5376;120,6973;56,9509;33,5243;46,8312;48,541;73,8905;61,68464;20,84706;89,4125;17,65427;22,08455;70,4315;85,3076;26,5239;82,6361;13,76957;87,4964;45,5728;75,4731;79,9839;22,8976;43,92155;22,67721;20,26261;61,4842;24,30628;17,54717;28,79908;28,09666
3,75;25,1172;24,9927;22,821;27,1024;21,9699;29,0793;24,1582;24,4975;45,7008;30,7579;22,263;121,1061;57,0717;33,1236;46,2726;48,0078;73,8095;61,59401;21,07605;100,1335;17,94923;21,56755;70,7105;84,6215;26,4532;80,7961;13,4369;87,607;45,5712;74,0862;79,6938;22,82955;43,58166;21,83572;19,9092;61,4425;24,09089;17,09986;28,13494;28,27214
3,821;24,7122;25,2302;22,9114;26,9978;21,8727;28,6936;23,3866;23,8287;46,6118;30,2364;22,8096;121,7199;57,568;33,1495;45,0965;48,4099;73,611;61,16779;20,579;106,8839;18,13933;21,41467;72,0942;82,5864;26,5951;76,5483;13,55644;87,8203;45,1773;74,3241;80,1175;22,38297;43,70981;21,84019;20,18385;61,6237;24,26786;17,46473;28,29103;28,35329
